ClassID,ClassDescription,SFSplitRes,SFSplitCom,CapacityRes_DUA,CapacityCom_FAR,SFperHH,SFperEmp,PercentOpenSpace,RedevValuePerAcreRes,RedevValuePerAcreCom,RedevAndOr,RedevBldgAgeRes_Low,RedevBldgAgeRes_High,RedevBldgAgeCom_Low,RedevBldgAgeCom_High,ClassOrder
1,CRT|Metropolitan Center,0.4,0.6,350,8,1000,500,0.05,650000,400000,AND,60,120,30,120,1
5,LRT|Metropolitan Center,0.4,0.6,350,8,1000,500,0.05,650000,400000,AND,60,120,30,120,2
9,NONTOD|Metropolitan Center,0.45,0.55,170,4,1000,500,0.05,650000,400000,AND,60,120,30,120,3
3,CRT|Urban Center,0.5,0.5,130,3,1000,500,0.1,500000,300000,AND,70,300,30,300,4
7,LRT|Urban Center,0.5,0.5,130,3,1000,500,0.1,500000,300000,AND,70,300,30,300,5
10,NONTOD|Urban Center,0.55,0.45,70,2,1200,500,0.1,500000,300000,AND,70,300,30,300,6
0,CRT|City Center,0.6,0.4,70,2,1200,600,0.1,500000,300000,AND,70,300,30,300,7
4,LRT|City Center,0.6,0.4,70,2,1200,600,0.1,500000,300000,AND,70,300,30,300,8
8,NONTOD|City Center,0.65,0.35,35,1,1200,600,0.1,500000,300000,AND,80,300,40,300,9
2,CRT|NA,0.7,0.3,35,1,1200,600,0.15,500000,300000,AND,70,300,30,300,10
6,LRT|NA,0.7,0.3,35,1,1200,600,0.15,500000,300000,AND,70,300,30,300,11
