SHORTDESC,CODE3
ANNABELLA TOWN,ABL
AMERICAN FORK,AFK
ALTA,ALA
ALPINE,ALP
ALTON,ALT
AMALGA,AMG
ALTAMONT,AMT
ANTIMONY,ANT
APPLE VALLEY,APV
AURORA,AUR
BALLARD,BAL
BLUFFDALE (SL CO),BDL
BLUFFDALE (UTAH CO),BDL
BRIGHAM CITY,BGM
BIG WATER,BGW
BRIAN HEAD CITY,BHD
BICKNELL,BIC
BLUFF,BLF
BLANDING,BNG
BOUNTIFUL,BNT
BOULDER,BOU
BRIGHTON,BRT
BEAR RIVER CITY,BRV
BRYCE CANYON CITY,BRY
BEAVER,BVR
CEDAR CITY,CDC
CEDAR FORT,CDF
CASTLE DALE,CDL
CENTERVILLE,CEN
CENTERFIELD,CFD
CHARLESTON,CHA
CEDAR HILLS,CHL
CIRCLEVILLE,CIR
CLARKSTON,CLA
CLEARFIELD,CLF
CLINTON,CLI
CLEVELAND,CLV
CLAWSON,CLW
COPPERTON METRO TOWNSHIP,CMT
CANNONVILLE,CNV
COALVILLE,COA
CORINNE CITY,CRC
CORNISH,CSH
CASTLE VALLEY,CSV
CENTRAL VALLEY,CVY
COTTONWOOD HEIGHTS,CWH
DANIEL,DAN
DEWEYVILLE,DEW
DELTA CITY,DLT
DRAPER CITY (SL CO),DRA
DRAPER CITY (UTAH CO),DRA
DUCHESNE,DUC
DUTCH JOHN CITY,DUT
EAGLE MOUNTAIN,EAG
EAST CARBON CITY,ECC
ELK RIDGE,ELK
ELMO,ELM
ELSINORE,ELS
ELWOOD,ELW
EMIGRATION CANYON METRO TOWNSHIP,EMT
EMERY,EMY
ENOCH,ENO
ENTERPRISE,ENT
EPHRAIM,EPH
ESCALANTE,ESC
EUREKA,EUR
FARMINGTON,FAR
FAYETTE,FAY
FRANCIS,FCS
FAIRFIELD,FFD
FOUNTAIN GREEN,FGR
FIELDING,FLD
FILLMORE,FLM
FERRON,FRN
FARR WEST CITY,FRR
FRUIT HEIGHTS,FTH
FAIRVIEW,FVW
GARDEN CITY,GCY
GLENDALE,GDL
GENOLA,GLA
GLENWOOD,GLW
GOSHEN,GOS
GREEN RIVER,GRE
GARLAND,GAL
GRANTSVILLE,GRL
GUNNISON,GUN
HARRISVILLE,HAR
HATCH,HCH
HOLDEN,HDN
HIDEOUT,HDT
HIDEOUT (SUMMIT),HDT
HIDEOUT (WASATCH),HDT
HEBER CITY,HEB
HERRIMAN TOWN,HER
HIGHLAND,HGH
HILDALE CITY,HIL
HINCKLEY,HKY
HELPER CITY,HLP
HENEFER,HNF
HANKSVILLE TOWN,HNK
HONEYVILLE CITY,HNV
CITY OF HOLLADAY,HOL
HOOPER,HOO
HOWELL CITY,HOW
HENRIEVILLE,HRV
HUNTINGTON,HTN
HURRICANE CITY,HUR
HUNTSVILLE,HVL
HYDE PARK CITY,HYD
HYRUM,HYR
INDEPENDENCE,IND
INTERLAKEN TOWN,INT
IVINS TOWN,IVN
JUNCTION,JCT
JOSEPH,JOS
KAYSVILLE,KAY
KAMAS,KMS
KEARNS METRO TOWNSHIP,KMT
KANAB CITY,KNB
KINGSTON,KNG
KANARRAVILLE,KNV
KOOSHAREM TOWN,KOO
KANOSH,KSH
LAKETOWN,LAK
LA VERKIN CITY,LAV
LAYTON,LAY
LEAMINGTON TOWN,LEA
LEEDS,LEE
LEHI,LEH
LEVAN,LEV
LEWISTON,LEW
LINDON,LIN
LOA,LOA
LOGAN CITY,LOG
LYMAN,LYM
LYNNDYL,LYN
MANILA,MAN
MAPLETON,MAP
MANTUA TOWN,MAU
MAYFIELD,MAY
MEADOW,MDW
MENDON,MEN
MIDVALE,MID
MILFORD,MIF
MILLVILLE,MIL
MILLCREEK,MLC
MAGNA METRO TOWNSHIP,MMT
MINERSVILLE,MNV
MOAB CITY,MOA
MONA,MON
MORGAN,MRG
MORONI,MRI
MONROE,MRO
MARRIOTT-SLATERVILLE CITY,MSL
MARYSVALE,MSV
MONTICELLO,MTC
MANTI,MTI
MOUNT PLEASANT CITY,MTP
MURRAY,MUR
MIDWAY,MWY
MYTON,MYT
NAPLES,NAP
NEPHI CITY,NEP
NIBLEY,NIB
NORTH LOGAN,NLO
NORTH OGDEN CITY,NOG
CITY OF NORTH SALT LAKE,NSL
NEW HARMONY,NWH
NEWTON,NWT
ORDERVILLE,ODV
OGDEN CITY,OGD
OAK CITY,OKC
OAKLEY,OKL
OREM,ORM
ORANGEVILLE,ORN
PAYSON,PAY
PARAGONAH,PGH
PLEASANT GROVE,PGR
PLYMOUTH,PLM
PLAIN CITY,PLN
PANGUITCH,PNG
PORTAGE,POR
PRICE,PRC
PARADISE,PRD
PARK CITY (SUMMIT CO),PRK
PARK CITY (WASATCH CO),PRK
PERRY CITY,PRY
PROVIDENCE,PVD
PROVO,PVO
PLEASANT VIEW,PVW
PAROWAN,PWN
RANDOLPH,RAN
RICHMOND,RCH
REDMOND,RDM
RICHFIELD CITY,RIC
ROCKVILLE,RKV
ROCKY RIDGE TOWN,RKY
ROOSEVELT,ROO
ROY CITY,ROY
RUSH VALLEY TOWN,RUS
RIVERDALE,RVD
RIVER HEIGHTS,RVH
RIVERTON,RVT
SANDY CITY,SAN
