w_geocode,C000,CA01,CA02,CA03,CE01,CE02,CE03,CNS01,CNS02,CNS03,CNS04,CNS05,CNS06,CNS07,CNS08,CNS09,CNS10,CNS11,CNS12,CNS13,CNS14,CNS15,CNS16,CNS17,CNS18,CNS19,CNS20,CR01,CR02,CR03,CR04,CR05,CR07,CT01,CT02,CD01,CD02,CD03,CD04,CS01,CS02,CFA01,CFA02,CFA03,CFA04,CFA05,CFS01,CFS02,CFS03,CFS04,CFS05,createdate
490011001001004,9,4,2,3,3,4,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,1,0,6,0,0,3,0,0,7,2,3,0,1,1,2,7,0,0,0,0,0,0,0,0,0,0,20240920
490011001001060,8,6,2,0,0,6,2,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,8,0,0,2,0,0,8,0,0,0,0,0,0,0,0,0,0,0,20240920
490011001001069,1,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,20240920
490011001001096,3,0,3,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,3,0,0,0,0,0,3,0,0,1,2,0,3,0,0,0,0,0,0,0,0,0,0,0,20240920
490011001001122,129,57,55,17,47,70,12,0,0,0,3,0,0,43,0,0,0,0,0,7,0,0,0,0,76,0,0,117,5,4,2,0,1,105,24,11,23,27,11,57,72,0,0,0,0,0,0,0,0,0,0,20240920
490011001001140,3,0,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,3,0,0,0,0,0,2,1,0,0,1,2,0,3,0,0,0,0,0,0,0,0,0,0,20240920
490011001001144,9,8,1,0,3,5,1,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,9,0,0,0,0,0,5,4,0,0,0,1,9,0,0,0,0,0,0,0,0,0,0,0,20240920
490011001001156,14,8,5,1,7,3,4,0,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0,0,0,0,0,12,2,0,4,1,1,9,5,0,0,0,0,0,0,0,0,0,0,20240920
490011001001158,110,20,64,26,15,17,78,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,17,3,89,104,0,1,3,2,0,98,12,12,20,30,28,62,48,0,0,0,0,0,0,0,0,0,0,20240920
490011001001175,65,29,21,15,23,34,8,0,0,0,0,0,0,28,0,0,0,0,0,0,0,0,0,0,37,0,0,60,3,1,0,0,1,48,17,8,10,11,7,27,38,0,0,0,0,0,0,0,0,0,0,20240920
490011001001176,10,3,3,4,3,6,1,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,6,0,0,9,0,0,0,0,1,7,3,4,1,1,1,4,6,0,0,0,0,0,0,0,0,0,0,20240920
490011001001184,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,20240920
490011001001194,22,7,13,2,0,4,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,22,0,0,0,0,0,22,0,0,3,6,6,19,3,0,0,0,0,0,0,0,0,0,0,20240920
490011001001201,2,0,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,2,0,0,0,0,0,2,0,0,0,1,1,0,2,0,0,0,0,0,0,0,0,0,0,20240920
490011001001208,6,3,0,3,4,2,0,0,0,0,1,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,6,0,0,2,0,1,4,2,0,0,0,0,0,0,0,0,0,0,20240920
